"Admitted","Disposition_binary","Place","F_Aid","Species_e","Sex_e","Age_e","Brought_in_after","season","r","Green_Orange","ID"
"7/9/2015","Died","malibu","No","Selasphorus","Female-like ","adult-like",0,"Summer","unknown","Selasphorus spp.","6478_ALHU"
"8/4/2002","Released","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","2321_ANHU"
"4/3/1997","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","unknown","Non-selasphorus spp.","1202_ANHU"
"7/19/2016","Died","Lindsey","Yes","ANHU","Male","adult-like",0,"Summer","unknown","Non-selasphorus spp.","5685_ANHU"
"4/5/1992","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","238_ANHU"
"6/6/2015","Died","malibu","No","Selasphorus","unknown","Nestling",1,"Summer","nest-related","Selasphorus spp.","6449_ALHU"
"5/28/1994","Released","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","window hit","Non-selasphorus spp.","653_ANHU"
"6/14/1997","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Summer","nest-related","Non-selasphorus spp.","1264_ANHU"
"5/29/1997","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","suspect torpor-like state","Non-selasphorus spp.","1250_ANHU"
"5/3/2007","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","found on the ground","Non-selasphorus spp.","3276_ANHU"
"6/21/2012","Released","Lindsey","No","ANHU","Male","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","4504_ANHU"
"5/14/1994","Died","Lindsey","No","Selasphorus","Female-like ","adult-like",0,"Spring","found on the ground","Selasphorus spp.","642_ALHU"
"2/24/2013","Released","malibu","No","Non-selasphorus","unknown","Nestling",1,"Winter","nest-related","Non-selasphorus spp.","5746_ANHU"
"5/2/2015","Died","malibu","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","6405_ANHU"
"2/17/2003","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Winter","window hit","Non-selasphorus spp.","2384_ANHU"
"3/5/2016","Died","Lindsey","No","Selasphorus","Female-like ","adult-like",1,"Spring","found on the ground","Selasphorus spp.","5515_ALHU"
"6/3/1991","Released","Lindsey","No","ANHU","Female-like ","adult-like",1,"Summer","nest-related","Non-selasphorus spp.","115_ANHU"
"4/8/2008","Died","Lindsey","Yes","ANHU","Male","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","3461_ANHU"
"2/13/1996","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Winter","nest-related","Non-selasphorus spp.","950_ANHU"
"6/26/1995","Released","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","886_ANHU"
"4/9/2009","Died","Lindsey","Yes","ANHU","Male","adult-like",1,"Spring","suspect torpor-like state","Non-selasphorus spp.","3685_ANHU"
"8/17/1999","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","caught by domestic animal","Non-selasphorus spp.","1704_ANHU"
"11/6/2011","Died","Lindsey","Yes","ANHU","Male","adult-like",0,"Fall","suspect torpor-like state","Non-selasphorus spp.","4320_ANHU"
"8/3/2015","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","window hit","Non-selasphorus spp.","5426_ANHU"
"5/13/2014","Released","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","5003_ANHU"
"11/4/2011","Died","Lindsey","Yes","ANHU","Male","adult-like",1,"Fall","window hit","Non-selasphorus spp.","4318_ANHU"
"4/14/1991","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","unknown","Non-selasphorus spp.","69_ANHU"
"1/19/2005","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Winter","window hit","Non-selasphorus spp.","2784_ANHU"
"5/25/2002","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","found on the ground","Non-selasphorus spp.","2256_ANHU"
"7/6/2012","Released","Lindsey","No","Selasphorus","Female-like ","adult-like",0,"Summer","found on the ground","Selasphorus spp.","4520_ALHU"
"3/15/2015","Died","Lindsey","No","Selasphorus","Female-like ","adult-like",0,"Spring","unknown","Selasphorus spp.","5212_ALHU"
"4/13/2013","Released","malibu","No","Non-selasphorus","unknown","Nestling",0,"Spring","unknown","Non-selasphorus spp.","5901_ANHU"
"5/11/2014","Died","malibu","No","Selasphorus","Female-like ","adult-like",0,"Spring","unknown","Selasphorus spp.","6224_ALHU"
"5/5/2013","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","found on the ground","Non-selasphorus spp.","4717_ANHU"
"6/3/2013","Released","Lindsey","Yes","ANHU","Male","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","4743_ANHU"
"4/8/2012","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found inside","Non-selasphorus spp.","4421_ANHU"
"5/23/1992","Died","Lindsey","No","Selasphorus","unknown","Nestling",1,"Spring","caught by domestic animal","Selasphorus spp.","286_ALHU"
"12/26/2009","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Winter","found on the ground","Non-selasphorus spp.","3839_ANHU"
"6/21/1992","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","324_ANHU"
"6/21/2005","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","2926_ANHU"
"6/15/1995","Released","Lindsey","No","Selasphorus","unknown","Nestling",0,"Summer","found on the ground","Selasphorus spp.","869_ALHU"
"5/23/2004","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","2699_ANHU"
"4/22/1996","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","1033_ANHU"
"9/22/2015","Died","malibu","Yes","Selasphorus","Female-like ","adult-like",0,"Fall","unknown","Selasphorus spp.","6519_ALHU"
"9/7/2013","Released","Lindsey","No","ANHU","Male","adult-like",0,"Fall","found on the ground","Non-selasphorus spp.","4812_ANHU"
"6/14/2000","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","1853_ANHU"
"6/13/2005","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Summer","found on the ground","Non-selasphorus spp.","2916_ANHU"
"10/8/2000","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Fall","found on the ground","Non-selasphorus spp.","1911_ANHU"
"4/28/2003","Released","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","2465_ANHU"
"3/30/2005","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","unknown","Non-selasphorus spp.","2833_ANHU"
"1/14/1999","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",3,"Winter","window hit","Non-selasphorus spp.","1527_ANHU"
"7/18/2009","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Summer","window hit","Non-selasphorus spp.","3792_ANHU"
"1/13/2009","Died","Lindsey","No","ANHU","Male","adult-like",0,"Winter","window hit","Non-selasphorus spp.","3602_ANHU"
"2/20/2014","Died","Lindsey","No","ANHU","Male","adult-like",0,"Winter","found on the ground","Non-selasphorus spp.","4878_ANHU"
"2/26/2016","Died","Lindsey","Yes","Selasphorus","Female-like ","adult-like",2,"Winter","found on the ground","Selasphorus spp.","5508_RUHU"
"2/19/1994","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",2,"Winter","found on the ground","Non-selasphorus spp.","568_ANHU"
"9/24/2010","Died","Lindsey","No","ANHU","Male","adult-like",1,"Fall","suspect torpor-like state","Non-selasphorus spp.","4061_ANHU"
"1/30/1993","Released","Lindsey","No","ANHU","Female-like ","adult-like",8,"Winter","unknown","Non-selasphorus spp.","372_ANHU"
"2/26/2000","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Winter","nest-related","Non-selasphorus spp.","1747_ANHU"
"6/5/2015","Died","malibu","No","Selasphorus","unknown","Nestling",0,"Summer","found on the ground","Selasphorus spp.","6448_ALHU"
"2/17/2014","Died","malibu","Yes","Selasphorus","Female-like ","adult-like",0,"Winter","found on the ground","Selasphorus spp.","6043_ALHU"
"5/11/2012","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","4466_ANHU"
"7/24/2009","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",30,"Summer","nest-related","Non-selasphorus spp.","3800_ANHU"
"4/27/2015","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","5295_ANHU"
